净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2020-09-30,2.351,2.351,0.69,开放申购,开放赎回,nan
2020-10-09,2.459,2.459,4.59,开放申购,开放赎回,nan
2020-10-12,2.498,2.498,1.59,开放申购,开放赎回,nan
2020-10-13,2.514,2.514,0.64,开放申购,开放赎回,nan
2020-10-14,2.498,2.498,-0.64,开放申购,开放赎回,nan
2020-10-15,2.467,2.467,-1.24,开放申购,开放赎回,nan
2020-10-16,2.439,2.439,-1.13,开放申购,开放赎回,nan
2020-10-19,2.393,2.393,-1.89,开放申购,开放赎回,nan
2020-10-20,2.442,2.442,2.05,开放申购,开放赎回,nan
2020-10-21,2.418,2.418,-0.98,开放申购,开放赎回,nan
2020-10-22,2.411,2.411,-0.29,开放申购,开放赎回,nan
2020-10-23,2.361,2.361,-2.07,开放申购,开放赎回,nan
2020-10-26,2.394,2.394,1.4,开放申购,开放赎回,nan
2020-10-27,2.429,2.429,1.46,开放申购,开放赎回,nan
2020-10-28,2.483,2.483,2.22,开放申购,开放赎回,nan
2020-10-29,2.504,2.504,0.85,开放申购,开放赎回,nan
2020-10-30,2.522,2.522,0.72,开放申购,开放赎回,nan
2020-11-02,2.604,2.604,3.25,开放申购,开放赎回,nan
2020-11-03,2.598,2.598,-0.23,开放申购,开放赎回,nan
2020-11-04,2.625,2.625,1.04,开放申购,开放赎回,nan
2020-11-05,2.718,2.718,3.54,开放申购,开放赎回,nan
2020-11-06,2.671,2.671,-1.73,开放申购,开放赎回,nan
2020-11-09,2.698,2.698,1.01,开放申购,开放赎回,nan
2020-11-10,2.672,2.672,-0.96,开放申购,开放赎回,nan
2020-11-11,2.595,2.595,-2.88,开放申购,开放赎回,nan
2020-11-12,2.626,2.626,1.19,开放申购,开放赎回,nan
2020-11-13,2.634,2.634,0.3,开放申购,开放赎回,nan
2020-11-16,2.642,2.642,0.3,开放申购,开放赎回,nan
2020-11-17,2.618,2.618,-0.91,开放申购,开放赎回,nan
2020-11-18,2.599,2.599,-0.73,开放申购,开放赎回,nan
2020-11-19,2.597,2.597,-0.08,开放申购,开放赎回,nan
2020-11-20,2.634,2.634,1.42,开放申购,开放赎回,nan
2020-11-23,2.689,2.689,2.09,开放申购,开放赎回,nan
2020-11-24,2.687,2.687,-0.07,开放申购,开放赎回,nan
2020-11-25,2.645,2.645,-1.56,开放申购,开放赎回,nan
2020-11-26,2.61,2.61,-1.32,开放申购,开放赎回,nan
2020-11-27,2.626,2.626,0.61,开放申购,开放赎回,nan
2020-11-30,2.612,2.612,-0.53,开放申购,开放赎回,nan
2020-12-01,2.648,2.648,1.38,开放申购,开放赎回,nan
2020-12-02,2.636,2.636,-0.45,开放申购,开放赎回,nan
2020-12-03,2.628,2.628,-0.3,开放申购,开放赎回,nan
2020-12-04,2.647,2.647,0.72,开放申购,开放赎回,nan
2020-12-07,2.661,2.661,0.53,开放申购,开放赎回,nan
2020-12-08,2.701,2.701,1.5,开放申购,开放赎回,nan
2020-12-09,2.671,2.671,-1.11,开放申购,开放赎回,nan
2020-12-10,2.703,2.703,1.2,开放申购,开放赎回,nan
2020-12-11,2.674,2.674,-1.07,开放申购,开放赎回,nan
2020-12-14,2.727,2.727,1.98,开放申购,开放赎回,nan
2020-12-15,2.752,2.752,0.92,开放申购,开放赎回,nan
2020-12-16,2.766,2.766,0.51,开放申购,开放赎回,nan
2020-12-17,2.781,2.781,0.54,开放申购,开放赎回,nan
2020-12-18,2.804,2.804,0.83,开放申购,开放赎回,nan
2020-12-21,2.901,2.901,3.46,开放申购,开放赎回,nan
2020-12-22,2.849,2.849,-1.79,开放申购,开放赎回,nan
2020-12-23,2.923,2.923,2.6,开放申购,开放赎回,nan
2020-12-24,2.925,2.925,0.07,开放申购,开放赎回,nan
2020-12-25,2.983,2.983,1.98,开放申购,开放赎回,nan
2020-12-28,2.97,2.97,-0.44,开放申购,开放赎回,nan
2020-12-29,2.899,2.899,-2.39,开放申购,开放赎回,nan
2020-12-30,2.965,2.965,2.28,开放申购,开放赎回,nan
2020-12-31,3.032,3.032,2.26,开放申购,开放赎回,nan
2021-01-04,3.176,3.176,4.75,开放申购,开放赎回,nan
2021-01-05,3.218,3.218,1.32,开放申购,开放赎回,nan
2021-01-06,3.213,3.213,-0.16,开放申购,开放赎回,nan
2021-01-07,3.284,3.284,2.21,开放申购,开放赎回,nan
2021-01-08,3.239,3.239,-1.37,开放申购,开放赎回,nan
2021-01-11,3.205,3.205,-1.05,开放申购,开放赎回,nan
2021-01-12,3.298,3.298,2.9,开放申购,开放赎回,nan
2021-01-13,3.238,3.238,-1.82,开放申购,开放赎回,nan
2021-01-14,3.174,3.174,-1.98,开放申购,开放赎回,nan
2021-01-15,3.172,3.172,-0.06,开放申购,开放赎回,nan
2021-01-18,3.222,3.222,1.58,开放申购,开放赎回,nan
2021-01-19,3.169,3.169,-1.64,开放申购,开放赎回,nan
2021-01-20,3.282,3.282,3.57,开放申购,开放赎回,nan
2021-01-21,3.342,3.342,1.83,开放申购,开放赎回,nan
2021-01-22,3.405,3.405,1.89,开放申购,开放赎回,nan
2021-01-25,3.418,3.418,0.38,开放申购,开放赎回,nan
2021-01-26,3.326,3.326,-2.69,开放申购,开放赎回,nan
2021-01-27,3.401,3.401,2.25,开放申购,开放赎回,nan
2021-01-28,3.253,3.253,-4.35,开放申购,开放赎回,nan
2021-01-29,3.224,3.224,-0.89,开放申购,开放赎回,nan
2021-02-01,3.246,3.246,0.68,开放申购,开放赎回,nan
2021-02-02,3.338,3.338,2.83,开放申购,开放赎回,nan
2021-02-03,3.328,3.328,-0.3,开放申购,开放赎回,nan
2021-02-04,3.278,3.278,-1.5,开放申购,开放赎回,nan
2021-02-05,3.221,3.221,-1.74,开放申购,开放赎回,nan
2021-02-08,3.262,3.262,1.27,开放申购,开放赎回,nan
2021-02-09,3.336,3.336,2.27,开放申购,开放赎回,nan
2021-02-10,3.405,3.405,2.07,开放申购,开放赎回,nan
2021-02-18,3.349,3.349,-1.64,开放申购,开放赎回,nan
2021-02-19,3.313,3.313,-1.07,开放申购,开放赎回,nan
2021-02-22,3.236,3.236,-2.32,开放申购,开放赎回,nan
2021-02-23,3.228,3.228,-0.25,开放申购,开放赎回,nan
2021-02-24,3.094,3.094,-4.15,开放申购,开放赎回,nan
2021-02-25,3.09,3.09,-0.13,开放申购,开放赎回,nan
2021-02-26,3.024,3.024,-2.14,开放申购,开放赎回,nan
2021-03-01,3.067,3.067,1.42,开放申购,开放赎回,nan
2021-03-02,3.072,3.072,0.16,开放申购,开放赎回,nan
2021-03-03,3.117,3.117,1.46,开放申购,开放赎回,nan
2021-03-04,3.027,3.027,-2.89,开放申购,开放赎回,nan
2021-03-05,2.998,2.998,-0.96,开放申购,开放赎回,nan
2021-03-08,2.952,2.952,-1.53,开放申购,开放赎回,nan
2021-03-09,2.912,2.912,-1.36,开放申购,开放赎回,nan
2021-03-10,2.909,2.909,-0.1,开放申购,开放赎回,nan
2021-03-11,2.947,2.947,1.31,开放申购,开放赎回,nan
2021-03-12,2.975,2.975,0.95,开放申购,开放赎回,nan
2021-03-15,2.914,2.914,-2.05,开放申购,开放赎回,nan
2021-03-16,2.937,2.937,0.79,开放申购,开放赎回,nan
2021-03-17,2.95,2.95,0.44,开放申购,开放赎回,nan
2021-03-18,2.982,2.982,1.08,开放申购,开放赎回,nan
2021-03-19,2.919,2.919,-2.11,开放申购,开放赎回,nan
2021-03-22,2.94,2.94,0.72,开放申购,开放赎回,nan
2021-03-23,2.914,2.914,-0.88,开放申购,开放赎回,nan
2021-03-24,2.857,2.857,-1.96,开放申购,开放赎回,nan
2021-03-25,2.859,2.859,0.07,开放申购,开放赎回,nan
2021-03-26,2.902,2.902,1.5,开放申购,开放赎回,nan
2021-03-29,2.902,2.902,0.0,开放申购,开放赎回,nan
2021-03-30,2.925,2.925,0.79,开放申购,开放赎回,nan
2021-03-31,2.919,2.919,-0.21,开放申购,开放赎回,nan
2021-04-01,2.933,2.933,0.48,开放申购,开放赎回,nan
2021-04-02,2.94,2.94,0.24,开放申购,开放赎回,nan
2021-04-06,2.935,2.935,-0.17,开放申购,开放赎回,nan
2021-04-07,2.926,2.926,-0.31,开放申购,开放赎回,nan
2021-04-08,2.935,2.935,0.31,开放申购,开放赎回,nan
2021-04-09,2.918,2.918,-0.58,开放申购,开放赎回,nan
2021-04-12,2.865,2.865,-1.82,开放申购,开放赎回,nan
2021-04-13,2.877,2.877,0.42,开放申购,开放赎回,nan
2021-04-14,2.908,2.908,1.08,开放申购,开放赎回,nan
2021-04-15,2.905,2.905,-0.1,开放申购,开放赎回,nan
2021-04-16,2.891,2.891,-0.48,开放申购,开放赎回,nan
2021-04-19,2.975,2.975,2.91,开放申购,开放赎回,nan
2021-04-20,2.994,2.994,0.64,开放申购,开放赎回,nan
2021-04-21,3.003,3.003,0.3,开放申购,开放赎回,nan
2021-04-22,3.016,3.016,0.43,开放申购,开放赎回,nan
2021-04-23,3.04,3.04,0.8,开放申购,开放赎回,nan
2021-04-26,3.016,3.016,-0.79,开放申购,开放赎回,nan
2021-04-27,3.018,3.018,0.07,开放申购,开放赎回,nan
2021-04-28,3.062,3.062,1.46,开放申购,开放赎回,nan
2021-04-29,3.059,3.059,-0.1,开放申购,开放赎回,nan
2021-04-30,3.081,3.081,0.72,开放申购,开放赎回,nan
2021-05-06,3.073,3.073,-0.26,开放申购,开放赎回,nan
2021-05-07,3.025,3.025,-1.56,开放申购,开放赎回,nan
2021-05-10,3.021,3.021,-0.13,开放申购,开放赎回,nan
2021-05-11,3.004,3.004,-0.56,开放申购,开放赎回,nan
2021-05-12,3.02,3.02,0.53,开放申购,开放赎回,nan
2021-05-13,2.993,2.993,-0.89,开放申购,开放赎回,nan
2021-05-14,3.04,3.04,1.57,开放申购,开放赎回,nan
2021-05-17,3.084,3.084,1.45,开放申购,开放赎回,nan
2021-05-18,3.079,3.079,-0.16,开放申购,开放赎回,nan
2021-05-19,3.096,3.096,0.55,开放申购,开放赎回,nan
2021-05-20,3.097,3.097,0.03,开放申购,开放赎回,nan
2021-05-21,3.086,3.086,-0.36,开放申购,开放赎回,nan
2021-05-24,3.095,3.095,0.29,开放申购,开放赎回,nan
2021-05-25,3.146,3.146,1.65,开放申购,开放赎回,nan
2021-05-26,3.123,3.123,-0.73,开放申购,开放赎回,nan
2021-05-27,3.138,3.138,0.48,开放申购,开放赎回,nan
2021-05-28,3.167,3.167,0.92,开放申购,开放赎回,nan
2021-05-31,3.243,3.243,2.4,开放申购,开放赎回,nan
2021-06-01,3.236,3.236,-0.22,开放申购,开放赎回,nan
2021-06-02,3.219,3.219,-0.53,开放申购,开放赎回,nan
2021-06-03,3.171,3.171,-1.49,开放申购,开放赎回,nan
2021-06-04,3.2,3.2,0.91,开放申购,开放赎回,nan
2021-06-07,3.175,3.175,-0.78,开放申购,开放赎回,nan
2021-06-08,3.149,3.149,-0.82,开放申购,开放赎回,nan
2021-06-09,3.161,3.161,0.38,开放申购,开放赎回,nan
2021-06-10,3.229,3.229,2.15,开放申购,开放赎回,nan
2021-06-11,3.222,3.222,-0.22,开放申购,开放赎回,nan
2021-06-15,3.233,3.233,0.34,开放申购,开放赎回,nan
2021-06-16,3.119,3.119,-3.53,开放申购,开放赎回,nan
2021-06-17,3.186,3.186,2.15,开放申购,开放赎回,nan
2021-06-18,3.238,3.238,1.63,开放申购,开放赎回,nan
2021-06-21,3.276,3.276,1.17,开放申购,开放赎回,nan
2021-06-22,3.282,3.282,0.18,开放申购,开放赎回,nan
2021-06-23,3.339,3.339,1.74,开放申购,开放赎回,nan
2021-06-24,3.291,3.291,-1.44,开放申购,开放赎回,nan
2021-06-25,3.335,3.335,1.34,开放申购,开放赎回,nan
2021-06-28,3.398,3.398,1.89,开放申购,开放赎回,nan
2021-06-29,3.422,3.422,0.71,开放申购,开放赎回,nan
2021-06-30,3.511,3.511,2.6,开放申购,开放赎回,nan
2021-07-01,3.517,3.517,0.17,开放申购,开放赎回,nan
2021-07-02,3.455,3.455,-1.76,开放申购,开放赎回,nan
2021-07-05,3.474,3.474,0.55,开放申购,开放赎回,nan
2021-07-06,3.422,3.422,-1.5,开放申购,开放赎回,nan
2021-07-07,3.536,3.536,3.33,开放申购,开放赎回,nan
2021-07-08,3.542,3.542,0.17,开放申购,开放赎回,nan
2021-07-09,3.542,3.542,0.0,开放申购,开放赎回,nan
2021-07-12,3.671,3.671,3.64,开放申购,开放赎回,nan
2021-07-13,3.661,3.661,-0.27,开放申购,开放赎回,nan
2021-07-14,3.591,3.591,-1.91,开放申购,开放赎回,nan
2021-07-15,3.664,3.664,2.03,开放申购,开放赎回,nan
2021-07-16,3.574,3.574,-2.46,开放申购,开放赎回,nan
2021-07-19,3.558,3.558,-0.45,开放申购,开放赎回,nan
2021-07-20,3.592,3.592,0.96,开放申购,开放赎回,nan
2021-07-21,3.763,3.763,4.76,开放申购,开放赎回,nan
2021-07-22,3.836,3.836,1.94,开放申购,开放赎回,nan
2021-07-23,3.828,3.828,-0.21,开放申购,开放赎回,nan
2021-07-26,3.806,3.806,-0.57,开放申购,开放赎回,nan
2021-07-27,3.658,3.658,-3.89,开放申购,开放赎回,nan
2021-07-28,3.654,3.654,-0.11,开放申购,开放赎回,nan
2021-07-29,3.883,3.883,6.27,开放申购,开放赎回,nan
2021-07-30,3.928,3.928,1.16,开放申购,开放赎回,nan
2021-08-02,3.928,3.928,0.0,开放申购,开放赎回,nan
2021-08-03,3.809,3.809,-3.03,开放申购,开放赎回,nan
2021-08-04,3.995,3.995,4.88,开放申购,开放赎回,nan
2021-08-05,3.985,3.985,-0.25,开放申购,开放赎回,nan
2021-08-06,4.018,4.018,0.83,开放申购,开放赎回,nan
2021-08-09,3.96,3.96,-1.44,开放申购,开放赎回,nan
2021-08-10,3.941,3.941,-0.48,开放申购,开放赎回,nan
2021-08-11,3.968,3.968,0.69,开放申购,开放赎回,nan
2021-08-12,3.985,3.985,0.43,开放申购,开放赎回,nan
2021-08-13,3.944,3.944,-1.03,开放申购,开放赎回,nan
2021-08-16,3.869,3.869,-1.9,开放申购,开放赎回,nan
2021-08-17,3.787,3.787,-2.12,开放申购,开放赎回,nan
2021-08-18,3.818,3.818,0.82,开放申购,开放赎回,nan
2021-08-19,3.912,3.912,2.46,开放申购,开放赎回,nan
2021-08-20,3.926,3.926,0.36,开放申购,开放赎回,nan
2021-08-23,4.018,4.018,2.34,开放申购,开放赎回,nan
2021-08-24,4.062,4.062,1.1,开放申购,开放赎回,nan
2021-08-25,4.131,4.131,1.7,开放申购,开放赎回,nan
2021-08-26,4.06,4.06,-1.72,开放申购,开放赎回,nan
2021-08-27,4.134,4.134,1.82,开放申购,开放赎回,nan
2021-08-30,4.168,4.168,0.82,开放申购,开放赎回,nan
2021-08-31,4.145,4.145,-0.55,开放申购,开放赎回,nan
2021-09-01,4.027,4.027,-2.85,开放申购,开放赎回,nan
2021-09-02,4.06,4.06,0.82,开放申购,开放赎回,nan
2021-09-03,3.938,3.938,-3.0,开放申购,开放赎回,nan
2021-09-06,3.969,3.969,0.79,开放申购,开放赎回,nan
2021-09-07,4.031,4.031,1.56,开放申购,开放赎回,nan
2021-09-08,3.981,3.981,-1.24,开放申购,开放赎回,nan
2021-09-09,4.013,4.013,0.8,开放申购,开放赎回,nan
2021-09-10,4.042,4.042,0.72,开放申购,开放赎回,nan
2021-09-13,4.067,4.067,0.62,开放申购,开放赎回,nan
2021-09-14,4.047,4.047,-0.49,开放申购,开放赎回,nan
2021-09-15,4.042,4.042,-0.12,开放申购,开放赎回,nan
2021-09-16,3.958,3.958,-2.08,开放申购,开放赎回,nan
2021-09-17,3.892,3.892,-1.67,开放申购,开放赎回,nan
2021-09-22,3.954,3.954,1.59,开放申购,开放赎回,nan
2021-09-23,3.93,3.93,-0.61,开放申购,开放赎回,nan
2021-09-24,3.851,3.851,-2.01,开放申购,开放赎回,nan
2021-09-27,3.766,3.766,-2.21,开放申购,开放赎回,nan
2021-09-28,3.786,3.786,0.53,开放申购,开放赎回,nan
2021-09-29,3.702,3.702,-2.22,开放申购,开放赎回,nan
